Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 770 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,1,63,100,Second
Rp 300 Juta - Rp 826 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",72,55,72,55,Baru
Rp 50 Juta,"Rajeg, Kab. Tangerang",2,1,72,30,Second
"Rp 519,16 Juta - Rp 765,47 Juta","Bojong Gede (Bojonggede), Kab. Bogor",2,1,72,36,Baru
Rp 960 Juta,"Babakan Madang, Kab. Bogor",2,2,LB 51,0,Second
"Rp 1,52 Miliar - Rp 1,67 Miliar","Umbulharjo, Kota Yogyakarta",3,2,73,122,Baru
Rp 600 Juta,"Karang Ploso (Karangploso), Kab. Malang",2,1,101,60,Second
Rp 583 Juta - Rp 739 Juta,"Sawangan, Kota Depok",2,2,42,49,Baru
Rp 650 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,60,53,Second
"Rp 1,14 Miliar - Rp 1,65 Miliar","Pasar Rebo, Kota Jakarta Timur",3,2,46,72,Baru
Rp 595 Juta,"Bojongsari, Kota Depok",2,1,69,45,Second
"Rp 490 Juta - Rp 1,1 Miliar","Cikupa, Kab. Tangerang",2-3,1-2,50 - 60,32 - 72,Baru
Rp 995 Juta,"Cengkareng, Kota Jakarta Barat",4,2,80,70,Second
"Rp 766 Juta - Rp 1,46 Miliar","Pamulang, Kota Tangerang Selatan",2-3,2,50 - 60,60 - 64,Baru
"Rp 5,2 Miliar","Pademangan, Kota Jakarta Utara",4,4,153,500,Second
"Rp 1,69 Miliar - Rp 2,39 Miliar","Cipayung, Kota Depok",3,3,100,167,Baru
"Rp 1,26 Miliar","Cempaka Putih, Kota Jakarta Pusat",3,2,38,74,Second
"Rp 472,8 Juta - Rp 840,8 Juta","Sepatan, Kab. Tangerang",2-3,1-2,60 - 72,32 - 55,Baru
"Rp 3,6 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,237,208,Second
Rp 18 Miliar - Rp 30 Miliar,"Serpong Utara, Kota Tangerang Selatan",0,0,0,0,Tidak diketahui
"Rp 3,5 Miliar","Medan Tuntungan, Kota Medan",4,LT 1.017 m²,LB 218,0,Second
Rp 1 Miliar - Rp 3 Miliar,"Cilincing, Kota Jakarta Utara",0,0,0,0,Tidak diketahui
"Rp 3,38 Miliar","Antapani (Cicadas), Kota Bandung",3,3,LB 164,0,Second
Rp 900 Juta - Rp 3 Miliar,"Pinang (Penang), Kota Tangerang",0,0,0,0,Tidak diketahui
Rp 350 Juta,"Ciledug, Kota Tangerang",2,1,36,36,Second
Rp 473 Juta - Rp 650 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,72,36,Baru
Rp 320 Juta,"Nanga Pinoh, Kab. Melawi",2,1,160,72,Second
Rp 725 Juta - Rp 800 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,60 - 83,36 - 50,Baru
"Rp 2,5 Miliar","Semarang Tengah, Kota Semarang",4,2,168,240,Second
Rp 480 Juta - Rp 513 Juta,"Cileungsi, Kab. Bogor",2,1,63 - 70,36,Baru
"Rp 2,5 Miliar","Cipondoh, Kota Tangerang",6,3,160,300,Second
"Rp 983 Juta - Rp 2,51 Miliar","Bogor Barat, Kota Bogor",2-3,2-3,75 - 160,45 - 80,Baru
"Rp 1,55 Miliar","Cakung, Kota Jakarta Timur",4,3,102,100,Second
"Rp 983 Juta - Rp 2,51 Miliar","Bogor Barat, Kota Bogor",2-3,2-3,75 - 160,45 - 80,Baru
Rp 5 Miliar,"Haurwangi, Kab. Cianjur",4,2,3.000,750,Second
Rp 426 Juta - Rp 544 Juta,"Cileungsi, Kab. Bogor",2,1,63 - 73,36 - 45,Baru
"Rp 1,1 Miliar","Cilandak, Kota Jakarta Selatan",2,2,LB 82,0,Second
"Rp 664 Juta - Rp 1,3 Miliar","Cibinong, Kab. Bogor",2-3,1-2,60 - 65,36 - 65,Baru
Rp 13 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",4,4,515,0,Second
"Rp 1,3 Miliar","Ciracas, Kota Jakarta Timur",3,2,60,80,Baru
Rp 500 Juta,"Cilodong, Kota Depok",2,1,50,0,Second
"Rp 580 Juta - Rp 7,5 Miliar","Cipayung, Kota Depok",2-3,1-2,50 - 60,48 - 72,Baru
