Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 590 Juta,"Cimahi Utara, Kota Cimahi",4,2,90,120,Second
"Rp 909,1 Juta - Rp 2,19 Miliar","Serpong, Kota Tangerang Selatan",2-3,1-3,66 - 84,36 - 67,Baru
"Rp 1,6 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,LT 60 m²,LB 117,0,Second
Rp 600 Juta - Rp 700 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 6,7 Miliar","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3,4,145,450,Second
Rp 500 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 1,6 Miliar","Medansatria (Medan Satria), Kota Bekasi",2,2,150,148,Second
Rp 500 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 3 Miliar,"Cakung, Kota Jakarta Timur",4,3,112,150,Second
"Rp 3,3 Miliar - Rp 3,6 Miliar","Mijen, Kota Semarang",0,0,0,0,Baru
Rp 9 Miliar,"Senen, Kota Jakarta Pusat",7,7,376,0,Second
"Rp 850 Juta - Rp 1,2 Miliar","Sepatan, Kab. Tangerang",0,0,0,0,Baru
"Rp 3,9 Miliar","Tanjung Priok, Kota Jakarta Utara",5,4,110,250,Second
"Rp 1,63 Miliar - Rp 4,45 Miliar","Ciputat, Kota Tangerang Selatan",2-4,1-3,60 - 120,37 - 163,Baru
"Rp 2,25 Miliar","Bekasi Selatan, Kota Bekasi",5,4,180,270,Second
"Rp 743,7 Juta - Rp 1,25 Miliar","Cilodong, Kota Depok",2-3,1-2,60 - 77,40 - 60,Baru
Rp 2 Miliar,"Telukjambe Timur, Kab. Karawang",2,2,206,120,Second
Rp 690 Juta - Rp 900 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 1,1 Miliar","Rungkut, Kota Surabaya",2,2,LB 200,0,Second
Rp 600 Juta - Rp 700 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 3,5 Miliar","Rungkut, Kota Surabaya",4,4,200,250,Second
Rp 500 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 7,05 Miliar","Serpong, Kota Tangerang Selatan",4,5,252,40,Second
Rp 500 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 6,9 Miliar","Cisauk, Kab. Tangerang",5,4,230,401,Second
Rp 166 Juta - Rp 230 Juta,"Parungkuda (Parung Kuda), Kab. Sukabumi",0,0,0,0,Baru
"Rp 5,25 Miliar","Pondok Aren, Kota Tangerang Selatan",4,4,LB 165,0,Second
"Rp 1,29 Miliar - Rp 1,62 Miliar","Cipondoh, Kota Tangerang",3,2,50 - 55,64 - 69,Baru
"Rp 4,3 Miliar","Pondok Aren, Kota Tangerang Selatan",8,3,178,300,Second
"Rp 1,89 Miliar - Rp 4,25 Miliar","Tangerang, Kota Tangerang",3,3,84 - 98,85 - 115,Baru
Rp 420 Juta,"Cisauk, Kab. Tangerang",2,1,72,58,Second
"Rp 1,05 Miliar - Rp 1,37 Miliar","Cilodong, Kota Depok",3,2,69 - 101,90 - 120,Baru
"Rp 1,6 Miliar","Pagedangan, Kab. Tangerang",3,2,60,72,Second
"Rp 588,1 Juta - Rp 1,69 Miliar","Setu, Kab. Bekasi",2-4,1-3,54 - 90,27 - 180,Baru
Rp 785 Juta,"Larangan, Kota Tangerang",2,1,50,45,Second
"Rp 600 Juta - Rp 1,2 Miliar","Ungaran Barat, Kab. Semarang",0,0,0,0,Baru
Rp 120 Juta,"Menganti, Kab. Gresik",1,LT 72 m²,LB 36,0,Second
Rp 760 Juta - Rp 935 Juta,"Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,85 Miliar","Bekasi Selatan, Kota Bekasi",4,4,108,0,Second
"Rp 430,79 Juta - Rp 731,17 Juta","Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 585 Juta,"Cileungsi, Kab. Bogor",2,1,84,50,Second
"Rp 1,8 Miliar - Rp 1,9 Miliar","Batu, Kota Batu",0,0,0,0,Baru
"Rp 2,9 Miliar","Pulogadung (Pulo Gadung), Kota Jakarta Timur",4,4,96,160,Second
"Rp 750 Juta - Rp 2,5 Miliar","Sindang Jaya, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,3 Miliar","Waru, Kab. Sidoarjo",3,2,LB 75,0,Second
Rp 800 Juta - Rp 875 Juta,"Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 550 Juta,"Kiaracondong, Kota Bandung",3,2,60,110,Second
"Rp 1,25 Miliar - Rp 1,45 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 550 Juta,"Gunungpuyuh (Gunung Puyuh), Kota Sukabumi",2,LT 84 m²,LB 54,0,Second
"Rp 544 Juta - Rp 1,12 Miliar","Babelan, Kab. Bekasi",2-3,1-3,55 - 98,40 - 70,Baru
Rp 690 Juta,"Arcamanik, Kota Bandung",2,3,60,50,Second
"Rp 2,7 Miliar - Rp 4,8 Miliar","Pagedangan, Kab. Tangerang",3-6,3-7,74 - 168,110 - 266,Baru
Rp 700 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,68,100,Second
"Rp 396,8 Juta - Rp 846 Juta","Parung Panjang, Kab. Bogor",2-3,1-2,60 - 84,30 - 60,Baru
Rp 350 Juta,"Cibeureum, Kota Sukabumi",3,2,200,170,Second
"Rp 1,05 Miliar - Rp 1,94 Miliar","Kemang, Kab. Bogor",2-3,1-3,60 - 146,45 - 80,Baru
Rp 375 Juta,"Cibeureum, Kota Sukabumi",2,1,112,0,Second
Rp 575 Juta - Rp 690 Juta,"Pamulang, Kota Tangerang Selatan",3,1,62,55,Baru
"Rp 1,98 Miliar","Mulyorejo, Kota Surabaya",4,3,87,130,Second
"Rp 600 Juta - Rp 1,5 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 4 Miliar,"Kebayoran Lama, Kota Jakarta Selatan",5,5,170,440,Second
"Rp 1 Miliar - Rp 1,3 Miliar","Sukaraja, Kab. Bogor",0,0,0,0,Baru
"Rp 1,7 Miliar","Kembangan, Kota Jakarta Barat",5,3,115,150,Second
Rp 600 Juta - Rp 780 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 375 Juta,"Citamiang, Kota Sukabumi",3,1,124,124,Second
"Rp 1,25 Miliar - Rp 4,7 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 750 Juta,"Gunungpuyuh (Gunung Puyuh), Kota Sukabumi",2,1,96,0,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 350 Juta,"Cibeureum, Kota Sukabumi",2,1,80,0,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
"Rp 2,95 Miliar","Margaasih, Kab. Bandung",5,5,238,0,Second
Rp 166 Juta,"Teras, Kab. Boyolali",0,0,0,0,Baru
Rp 3 Miliar,"Cisaat, Kab. Sukabumi",5,2,LB 200,0,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
"Rp 6,5 Miliar","Sukasari, Kota Bandung",4,3,327,460,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 800 Juta,"Kedungkandang, Kota Malang",3,2,78,150,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 700 Juta,"Ungaran Barat, Kab. Semarang",3,1,144,90,Second
"Rp 1,5 Miliar - Rp 2 Miliar","Batu, Kota Batu",0,0,0,0,Baru
Rp 350 Juta,"Jagakarsa, Kota Jakarta Selatan",2,1,35,35,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 410 Juta,"Cikole, Kota Sukabumi",2,1,72,36,Second
"Rp 1,57 Miliar - Rp 2,32 Miliar","Curug, Kab. Tangerang",2-4,1-3,60 - 124,35 - 135,Baru
Rp 695 Juta,"Cilodong, Kota Depok",2,1,72,45,Second
"Rp 850 Juta - Rp 1,05 Miliar","Sawangan, Kota Depok",3,2,70 - 105,60,Baru
Rp 435 Juta,"Cikole, Kota Sukabumi",4,2,90,60,Second
"Rp 831 Juta - Rp 1,23 Miliar","Sawangan, Kota Depok",3,2,72,64 - 86,Baru
"Rp 3,25 Miliar","Tanjung Priok, Kota Jakarta Utara",4,5,LB 230,0,Second
Rp 295 Juta - Rp 379 Juta,"Ciseeng, Kab. Bogor",2,1-2,60 - 70,32 - 56,Baru
Rp 608 Juta,"Candi, Kab. Sidoarjo",2,1,90,45,Second
Rp 435 Juta - Rp 470 Juta,"Cibinong, Kab. Bogor",2,1,50 - 77,28,Baru
"Rp 3,8 Miliar","Pejagoan, Kab. Kebumen",5,3,1.114,580,Second
Rp 3 Miliar - Rp 5 Miliar,"Denpasar Timur, Kota Denpasar",0,0,0,0,Baru
Rp 675 Juta,"Cilodong, Kota Depok",2,2,84,55,Second
Rp 500 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
Rp 784 Juta,"Pancoran Mas, Kota Depok",2,LT 90 m²,LB 60,0,Second
Rp 489 Juta - Rp 600 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 12,8 Miliar","Cilandak, Kota Jakarta Selatan",4,4,LB 400,0,Second
Rp 607 Juta - Rp 675 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 2 Miliar,"Kalasan, Kab. Sleman",3,LT 202 m²,LB 120,0,Second
"Rp 829,2 Juta - Rp 1,09 Miliar","Kalideres, Kota Jakarta Barat",0,0,0,0,Baru
"Rp 1,9 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,2,123,105,Second
"Rp 1,1 Miliar - Rp 1,3 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 55 Juta,"Sawangan, Kota Depok",2,1,72,45,Second
"Rp 1,07 Miliar - Rp 1,2 Miliar","Pancoran Mas, Kota Depok",0,0,0,0,Baru
"Rp 3,55 Miliar","Cikarang Selatan, Kab. Bekasi",4,4,200,330,Second
"Rp 491,8 Juta - Rp 695,8 Juta","Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 1,5 Miliar","Ranca Bungur, Kab. Bogor",4,4,1.100,150,Second
Rp 400 Juta - Rp 450 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",0,0,0,0,Baru
Rp 185 Juta,"Ciampea, Kab. Bogor",2,LT 60 m²,LB 30,0,Second
"Rp 780 Juta - Rp 1,22 Miliar","Cibinong, Kab. Bogor",2,1-2,77 - 146,36 - 80,Baru
"Rp 1,5 Miliar","Pondok Aren, Kota Tangerang Selatan",4,3,180,200,Second
Rp 760 Juta - Rp 935 Juta,"Setu, Kota Tangerang Selatan",3,2,60 - 73,70,Baru
"Rp 4,35 Miliar","Cimanggis, Kota Depok",4,4,356,290,Second
Rp 549 Juta - Rp 849 Juta,"Ujungberung (Ujung Berung), Kota Bandung",2,1,72,45,Baru
"Rp 4,25 Miliar","Pasar Minggu, Kota Jakarta Selatan",5,5,131,280,Second
Rp 461 Juta - Rp 597 Juta,"Tajurhalang, Kab. Bogor",2,1,60 - 109,36 - 60,Baru
"Rp 2,55 Miliar","Kebayoran Baru, Kota Jakarta Selatan",4,4,150,180,Second
"Rp 258 Juta - Rp 594,5 Juta","Dramaga, Kab. Bogor",2-3,1,60 - 80,30 - 60,Baru
"Rp 2,75 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,3,196,100,Second
Rp 484 Juta - Rp 741 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,61,40,Baru
"Rp 1,8 Miliar","Pondok Aren, Kota Tangerang Selatan",3,2,96,110,Second
"Rp 789 Juta - Rp 1,22 Miliar","Ngaglik, Kab. Sleman",2-3,1-2,45 - 105,45 - 98,Baru
"Rp 3,9 Miliar","Bekasi Selatan, Kota Bekasi",5,4,189,285,Second
Rp 269 Juta - Rp 375 Juta,"Jetis, Kab. Bantul",2-3,1,66 - 70,36 - 45,Baru
"Rp 2,01 Miliar","Sumur Bandung, Kota Bandung",2,1,50,36,Second
"Rp 755,6 Juta - Rp 1,17 Miliar","Panongan, Kab. Tangerang",2-3,1-2,60 - 72,41 - 74,Baru
"Rp 1,55 Miliar","Ciputat, Kota Tangerang Selatan",3,2,72,68,Second
"Rp 1,35 Miliar - Rp 2,05 Miliar","Banyumanik, Kota Semarang",6-8,6-8,64 - 83,107 - 142,Baru
"Rp 1,85 Miliar","Pedurungan, Kota Semarang",3,3,80,0,Second
"Rp 543,37 Juta - Rp 877 Juta","Mustikajaya (Mustika Jaya), Kota Bekasi",3,1,72 - 83,37 - 45,Baru
Rp 525 Juta,"Driyorejo, Kab. Gresik",2,1,109,45,Second
"Rp 699 Juta - Rp 1,16 Miliar","Parung, Kab. Bogor",2-3,1-2,72,42 - 84,Baru
Rp 690 Juta,"Pamulang, Kota Tangerang Selatan",2,1,85,55,Second
"Rp 679,49 Juta - Rp 1,3 Miliar","Kemang, Kab. Bogor",3,1-2,60 - 72,42 - 68,Baru
"Rp 1,8 Miliar","Serpong, Kota Tangerang Selatan",3,2,162,90,Second
"Rp 5,5 Miliar","Tampan, Kota Pekanbaru",0,0,0,0,Baru
Rp 899 Juta,"Bojongsari, Kota Depok",3,2,84,75,Second
"Rp 7,8 Miliar","Tampan, Kota Pekanbaru",0,0,0,0,Baru
"Rp 1,8 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,LT 120 m²,LB 100,0,Second
Rp 185 Juta - Rp 275 Juta,"Jambe, Kab. Tangerang",0,0,0,0,Baru
Rp 395 Juta,"Kramatjati (Kramat Jati), Kota Jakarta Timur",2,1,20,40,Second
Rp 685 Juta - Rp 785 Juta,"Mlati, Kab. Sleman",0,0,0,0,Baru
"Rp 1,5 Miliar","Gunung Anyar (Gununganyar), Kota Surabaya",3,2,LB 91,0,Second
"Rp 1,3 Miliar - Rp 1,5 Miliar","Batu, Kota Batu",0,0,0,0,Baru
"Rp 2,75 Miliar","Gunung Putri, Kab. Bogor",4,3,234,0,Second
Rp 166 Juta - Rp 210 Juta,"Parungkuda (Parung Kuda), Kab. Sukabumi",0,0,0,0,Baru
Rp 270 Juta,"Sawangan, Kota Depok",2,1,50,38,Second
Rp 295 Juta - Rp 450 Juta,"Gatak, Kab. Sukoharjo",0,0,0,0,Baru
"Rp 1,65 Miliar","Tarumajaya, Kab. Bekasi",3,3,126,110,Second
Rp 543 Juta - Rp 630 Juta,"Baki, Kab. Sukoharjo",0,0,0,0,Baru
"Rp 2,4 Miliar","Cakung, Kota Jakarta Timur",3,2,160,80,Second
"Rp 1,39 Miliar - Rp 1,97 Miliar","Grogol, Kab. Sukoharjo",0,0,0,0,Baru
Rp 7 Miliar,"Makasar, Kota Jakarta Timur",4,2,350,0,Second
"Rp 900 Juta - Rp 1,7 Miliar","Garut Kota, Kab. Garut",0,0,0,0,Baru
Rp 680 Juta,"Bekasi Barat, Kota Bekasi",4,3,78,215,Second
"Rp 516,34 Juta - Rp 730,33 Juta","Parung Panjang, Kab. Bogor",2-3,1,60 - 72,27 - 48,Baru
"Rp 1,2 Miliar","Cibinong, Kab. Bogor",3,3,120,0,Second
Rp 850 Juta - Rp 950 Juta,"Sawangan, Kota Depok",3,2,71 - 83,56 - 60,Baru
"Rp 1,2 Miliar","Cibinong, Kab. Bogor",4,3,120,100,Second
"Rp 9,5 Miliar","Mulyorejo, Kota Surabaya",4,3-4,210,430,Baru
Rp 850 Juta,"Curug, Kab. Tangerang",2,1,72,43,Second
"Rp 1,09 Miliar - Rp 2,36 Miliar","Ciputat, Kota Tangerang Selatan",2-3,2,60 - 106,72 - 85,Baru
Rp 2 Miliar,"Ungaran Barat, Kab. Semarang",4,4,297,189,Second
"Rp 1,01 Miliar - Rp 1,09 Miliar","Sawangan, Kota Depok",3,2,97 - 116,72,Baru
Rp 780 Juta,"Jatiasih, Kota Bekasi",2,1,80,44,Second
Rp 695 Juta - Rp 696 Juta,"Ciputat, Kota Tangerang Selatan",3,2,60,66,Baru
Rp 1 Miliar,"Sukaraja, Kab. Sukabumi",3,4,158,46,Second
"Rp 458,4 Juta - Rp 1,23 Miliar","Cileungsi, Kab. Bogor",2-3,1-2,60 - 105,30 - 58,Baru
Rp 6 Miliar,"Gajahmungkur (Gajah Mungkur), Kota Semarang",4,2,341,300,Second
"Rp 1,26 Miliar - Rp 1,73 Miliar","Cisauk, Kab. Tangerang",2,1-2,54 - 131,36 - 55,Baru
"Rp 1,2 Miliar","Ciputat, Kota Tangerang Selatan",3,2,135,180,Second
"Rp 1,08 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",3,2,60 - 72,60,Baru
Rp 185 Juta,"Sepatan, Kab. Tangerang",2,1,60,28,Second
"Rp 3,18 Miliar - Rp 3,21 Miliar","Pagedangan, Kab. Tangerang",6,4,84,144,Baru
Rp 230 Juta,"Tajurhalang, Kab. Bogor",2,1,60,22,Second
Rp 821 Juta,"Tampan, Kota Pekanbaru",3,2,87,68,Baru
Rp 880 Juta,"Batam Kota, Kota Batam",3,1,90,60,Second
"Rp 7,51 Miliar - Rp 8,3 Miliar","Cilandak, Kota Jakarta Selatan",4,4,138,308,Baru
Rp 185 Juta,"Sepatan, Kab. Tangerang",2,1,60,30,Second
"Rp 655 Juta - Rp 1,29 Miliar","Cilodong, Kota Depok",2-3,1-3,72 - 104,40 - 95,Baru
Rp 495 Juta,"Ngamprah, Kab. Bandung Barat",2,2,71,45,Second
"Rp 3,92 Miliar - Rp 4,06 Miliar","Sawangan, Kota Depok",3,2,60 - 100,45 - 255,Baru
Rp 660 Juta,"Pancoran Mas, Kota Depok",3,2,68,95,Second
Rp 850 Juta - Rp 960 Juta,"Cibinong, Kab. Bogor",2,2,66 - 68,72,Baru
Rp 775 Juta,"Cimanggis, Kota Depok",3,1,84,66,Second
"Rp 2 Miliar - Rp 2,33 Miliar","Matraman, Kota Jakarta Timur",2-3,2,47 - 55,66 - 100,Baru
Rp 365 Juta,"Semarang Selatan, Kota Semarang",2,1,120,40,Second
"Rp 875 Juta - Rp 1,08 Miliar","Cilodong, Kota Depok",3,2,63 - 85,63 - 86,Baru
"Rp 2,1 Miliar","Genteng, Kota Surabaya",9,4,294,294,Second
"Rp 1,86 Miliar - Rp 2,36 Miliar","Setu, Kota Tangerang Selatan",2,2,90 - 131,128 - 130,Baru
"Rp 2,2 Miliar","Bekasi Timur, Kota Bekasi",4,3,180,185,Second
Rp 885 Juta - Rp 935 Juta,"Cipedes, Kota Tasikmalaya",0,0,0,0,Baru
Rp 550 Juta,"Ngamprah, Kab. Bandung Barat",2,2,71,50,Second
"Rp 762,6 Juta - Rp 838,2 Juta","Pancoran Mas, Kota Depok",0,0,0,0,Baru
Rp 2 Miliar,"Waru, Kab. Sidoarjo",6,4,252,350,Second
Rp 400 Juta - Rp 500 Juta,"Klari, Kab. Karawang",0,0,0,0,Baru
"Rp 1,55 Miliar","Depok, Kab. Sleman",3,3,104,125,Second
Rp 500 Juta - Rp 990 Juta,"Klari, Kab. Karawang",0,0,0,0,Baru
"Rp 1,6 Miliar","Batam Kota, Kota Batam",3,3,90,132,Second
"Rp 1,3 Triliun - Rp 1,5 Triliun","Batu, Kota Batu",0,0,0,0,Baru
Rp 310 Juta,"Pakal, Kota Surabaya",2,1,55,30,Second
Rp 500 Juta - Rp 800 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",0,0,0,0,Baru
"Rp 1,75 Miliar","Kalideres, Kota Jakarta Barat",2,2,84,69,Second
"Rp 987,5 Juta - Rp 1,27 Miliar","Bekasi Utara, Kota Bekasi",2-3,1-2,55 - 60,34 - 61,Baru
"Rp 1,65 Miliar","Serpong Utara, Kota Tangerang Selatan",2,2,75,158,Second
"Rp 863,5 Juta - Rp 1,17 Miliar","Sawangan, Kota Depok",2-3,1-2,86 - 111,50 - 68,Baru
"Rp 1,3 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,3,94,78,Second
"Rp 1,21 Miliar - Rp 2,01 Miliar","Pamulang, Kota Tangerang Selatan",2-3,2,38 - 198,36 - 104,Baru
"Rp 1,7 Miliar","Jagakarsa, Kota Jakarta Selatan",4,5,84,203,Second
"Rp 876,5 Juta - Rp 1,68 Miliar","Serpong, Kota Tangerang Selatan",3,2,60 - 86,55,Baru
Rp 650 Juta,"Cinambo, Kota Bandung",1,1,75,50,Second
"Rp 910 Juta - Rp 1,26 Miliar","Cilodong, Kota Depok",3,2,56 - 106,88 - 96,Baru
Rp 700 Juta,"Tenjo, Kab. Bogor",3,LT 176 m²,LB 55,0,Second
"Rp 957,3 Juta","Setu, Kota Tangerang Selatan",3,LT 62 m²,LB 70,0,Baru
"Rp 3,5 Miliar","Cimanggis, Kota Depok",4,3,345,247,Second
Rp 1 Miliar,"Sukmajaya, Kota Depok",4,2,120,80,Baru
"Rp 1,75 Miliar","Gunung Putri, Kab. Bogor",3,3,200,160,Second
"Rp 948 Juta - Rp 1,14 Miliar","Bojongsari, Kota Depok",2-3,1-3,61 - 116,60 - 110,Baru
"Rp 1,75 Miliar","Gunung Putri, Kab. Bogor",3,3,LB 160,0,Second
"Rp 424,9 Juta - Rp 1,01 Miliar","Legok, Kab. Tangerang",2-3,1-2,50 - 113,33 - 52,Baru
Rp 650 Juta,"Sumbang, Kab. Banyumas",4,3,108,200,Second
Rp 545 Juta - Rp 771 Juta,"Sawangan, Kota Depok",2-3,1,77 - 90,36 - 60,Baru
Rp 285 Juta,"Ciracas, Kota Jakarta Timur",2,1,60,0,Second
Rp 900 Juta - Rp 950 Juta,"Jagakarsa, Kota Jakarta Selatan",3,2,79,57,Baru
"Rp 2,5 Miliar","Banyumanik, Kota Semarang",2,1,150,100,Second
"Rp 226,35 Juta - Rp 300 Juta","Pakisaji, Kab. Malang",2,1,60 - 72,30 - 36,Baru
Rp 300 Juta,"Singosari, Kab. Malang",2,1,77,63,Second
"Rp 1,3 Miliar - Rp 1,4 Miliar","Pamulang, Kota Tangerang Selatan",3,2,60 - 80,85,Baru
Rp 900 Juta,"Cikarang Utara, Kab. Bekasi",2,2,49,53,Second
Rp 405 Juta - Rp 510 Juta,"Tajurhalang, Kab. Bogor",2,1,60 - 87,30 - 50,Baru
"Rp 3,5 Miliar","Duren Sawit, Kota Jakarta Timur",3,LT 166 m²,LB 175,0,Second
"Rp 1,83 Miliar - Rp 3,05 Miliar","Lowokwaru, Kota Malang",12,12,83 - 138,227 - 270,Baru
"Rp 2,5 Miliar","Banyumanik, Kota Semarang",2,1,150,100,Second
"Rp 696,65 Juta - Rp 1,54 Miliar","Bogor Barat, Kota Bogor",2-3,1-3,66 - 84,36 - 85,Baru
"Rp 7,5 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,2,356,116,Second
"Rp 975 Juta - Rp 3,05 Miliar","Pamulang, Kota Tangerang Selatan",2-3,1-2,65 - 185,45 - 130,Baru
"Rp 3,05 Miliar","Cipayung, Kota Jakarta Timur",4,4,91,223,Second
"Rp 1,96 Miliar - Rp 3,76 Miliar","Tarumajaya, Kab. Bekasi",2-5,2-4,55 - 192,50 - 223,Baru
"Rp 2,2 Miliar","Jagakarsa, Kota Jakarta Selatan",4,2,300,0,Second
"Rp 388,01 Juta - Rp 725,74 Juta","Legok, Kab. Tangerang",1-3,1,60 - 72,20 - 46,Baru
Rp 900 Juta,"Jatiasih, Kota Bekasi",2,2,116,90,Second
"Rp 1,82 Miliar - Rp 3,28 Miliar","Blimbing, Kota Malang",3-4,3,81 - 217,128 - 153,Baru
Rp 590 Juta,"Cipayung, Kota Jakarta Timur",3,2,52,49,Second
"Rp 923 Juta - Rp 3,99 Miliar","Bulak, Kota Surabaya",2-3,1-2,50 - 162,40 - 155,Baru
Rp 795 Juta,"Ciracas, Kota Jakarta Timur",3,2,47,60,Second
Rp 385 Juta - Rp 585 Juta,"Sawangan, Kota Depok",2,1,53 - 80,32 - 45,Baru
"Rp 1,6 Miliar","Duren Sawit, Kota Jakarta Timur",4,3,LB 136,0,Second
Rp 425 Juta - Rp 550 Juta,"Sawangan, Kota Depok",2,1,75 - 88,42 - 50,Baru
"Rp 1,8 Miliar","Cipayung, Kota Jakarta Timur",4,3,72,0,Second
Rp 540 Juta - Rp 680 Juta,"Sawangan, Kota Depok",2,1,60 - 96,4 - 40,Baru
Rp 726 Juta,"Duren Sawit, Kota Jakarta Timur",3,2,60,0,Second
"Rp 434 Juta - Rp 566,5 Juta","Ciomas, Kab. Bogor",2,1,72 - 84,36 - 45,Baru
"Rp 2,25 Miliar","Serpong, Kota Tangerang Selatan",4,4,136,160,Second
"Rp 997 Juta - Rp 1,39 Miliar","Pancoran Mas, Kota Depok",3,2,102 - 136,72 - 92,Baru
"Rp 1,39 Miliar","Cipayung, Kota Jakarta Timur",4,2,LB 104,0,Second
Rp 499 Juta - Rp 539 Juta,"Gunung Sindur, Kab. Bogor",2,1,63,36,Baru
Rp 620 Juta,"Cipayung, Kota Jakarta Timur",3,2,50,55,Second
"Rp 910 Juta - Rp 1,26 Miliar","Cilodong, Kota Depok",3,2,56 - 106,62 - 94,Baru
Rp 925 Juta,"Pasar Rebo, Kota Jakarta Timur",3,2,50,90,Second
"Rp 1,31 Miliar - Rp 1,65 Miliar","Cikarang Selatan, Kab. Bekasi",3,LT 58 - 65 m²,LB 85 - 144,0,Baru
"Rp 1,29 Miliar","Cipayung, Kota Jakarta Timur",3,2,67,70,Second
"Rp 384,4 Juta - Rp 500 Juta","Gunung Sindur, Kab. Bogor",2,1,50 - 60,31 - 36,Tidak diketahui
Rp 685 Juta,"Cipayung, Kota Jakarta Timur",2,2,54,50,Second
"Rp 900 Juta - Rp 1,3 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",2-3,1-2,47 - 73,42 - 60,Tidak diketahui
Rp 250 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,2,60,60,Second
"Rp 799 Juta - Rp 1,2 Miliar","Sawangan, Kota Depok",3,1,72,52,Baru
Rp 365 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",3,1,83,80,Second
Rp 650 Juta,"Kasihan, Kab. Bantul",2,2,97,65,Baru
Rp 650 Juta,"Wiyung, Kota Surabaya",2,1,90,36,Second
Rp 249 Juta - Rp 450 Juta,"Ciampea, Kab. Bogor",2,1,60 - 78,30 - 36,Baru
Rp 400 Juta,"Menganti, Kab. Gresik",2,1,60,46,Second
Rp 479 Juta,"Tajurhalang, Kab. Bogor",2,1,68,33,Baru
"Rp 2,52 Miliar","Bogor Timur, Kota Bogor",4,4,LB 163,0,Second
Rp 440 Juta - Rp 520 Juta,"Sawangan, Kota Depok",2,1,50 - 75,36 - 40,Baru
Rp 600 Juta,"Sidoarjo, Kab. Sidoarjo",2,1,69,38,Second
Rp 510 Juta - Rp 540 Juta,"Tajurhalang, Kab. Bogor",2,1,85,31,Baru
Rp 650 Juta,"Wiyung, Kota Surabaya",2,1,90,36,Second
Rp 598 Juta - Rp 652 Juta,"Sleman, Kab. Sleman",2,1,87 - 115,50,Baru
Rp 400 Juta,"Taman, Kab. Sidoarjo",2,1,60,30,Second
